"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"64916",200,100,0,16,0.1,"Zinck",0,0.666666666666667,20
"64917",200,100,0,17,0.1,"Zinck",0,0.533333333333333,16
"64918",200,100,0,18,0.1,"Zinck",0.105263157894737,0.566666666666667,19
"64919",200,100,0,19,0.1,"Zinck",NA,NA,0
"64920",200,100,0,20,0.1,"Zinck",0.133333333333333,0.433333333333333,15
"64921",200,100,0,21,0.1,"Zinck",0.0769230769230769,0.4,13
"64922",200,100,0,22,0.1,"Zinck",0,0.4,12
"64923",200,100,0,23,0.1,"Zinck",0.0714285714285714,0.433333333333333,14
"64924",200,100,0,24,0.1,"Zinck",0.222222222222222,0.466666666666667,18
"64925",200,100,0,25,0.1,"Zinck",0.483870967741935,0.533333333333333,31
"64926",200,100,0,26,0.1,"Zinck",0.0833333333333333,0.366666666666667,12
"64927",200,100,0,27,0.1,"Zinck",0.0625,0.5,16
"64928",200,100,0,28,0.1,"Zinck",0.208333333333333,0.633333333333333,24
"64929",200,100,0,29,0.1,"Zinck",0.238095238095238,0.533333333333333,21
"64930",200,100,0,30,0.1,"Zinck",0.285714285714286,0.5,21
"64931",200,100,0,31,0.1,"Zinck",0,0.566666666666667,17
"64932",200,100,0,32,0.1,"Zinck",0.52,0.4,25
"64933",200,100,0,33,0.1,"Zinck",0.2,0.533333333333333,20
"64934",200,100,0,34,0.1,"Zinck",0.117647058823529,0.5,17
"64935",200,100,0,35,0.1,"Zinck",0.133333333333333,0.433333333333333,15
"64936",200,100,0,36,0.1,"Zinck",0.40625,0.633333333333333,32
"64937",200,100,0,37,0.1,"Zinck",0.117647058823529,0.5,17
"64938",200,100,0,38,0.1,"Zinck",0.342105263157895,0.833333333333333,38
"64939",200,100,0,39,0.1,"Zinck",0.0952380952380952,0.633333333333333,21
"64940",200,100,0,40,0.1,"Zinck",0.285714285714286,0.5,21
"64941",200,100,0,41,0.1,"Zinck",0.153846153846154,0.366666666666667,13
"64942",200,100,0,42,0.1,"Zinck",0.142857142857143,0.4,14
"64943",200,100,0,43,0.1,"Zinck",0,0.2,6
"64944",200,100,0,44,0.1,"Zinck",0.285714285714286,0.5,21
"64945",200,100,0,45,0.1,"Zinck",0.0526315789473684,0.6,19
"64946",200,100,0,46,0.1,"Zinck",0,0.333333333333333,10
"64947",200,100,0,47,0.1,"Zinck",0.0833333333333333,0.366666666666667,12
"64948",200,100,0,48,0.1,"Zinck",0,0.466666666666667,14
"64949",200,100,0,49,0.1,"Zinck",0.269230769230769,0.633333333333333,26
"64950",200,100,0,50,0.1,"Zinck",0,0.566666666666667,17
"64951",200,100,0,51,0.1,"Zinck",0.0952380952380952,0.633333333333333,21
"64952",200,100,0,52,0.1,"Zinck",0.0666666666666667,0.466666666666667,15
"64953",200,100,0,53,0.1,"Zinck",0.238095238095238,0.533333333333333,21
"64954",200,100,0,54,0.1,"Zinck",0.478260869565217,0.4,23
"64955",200,100,0,55,0.1,"Zinck",0.1,0.3,10
"64956",200,100,0,56,0.1,"Zinck",0.25,0.5,20
