p,pos,u,sim,target_fdr,method,empirical_fdr,power,n_selected
200,100,0.5,46,0.1,DeepLINK,0.4285714285714285,0.5333333333333333,28
200,100,0.5,47,0.1,DeepLINK,0.3703703703703703,0.5666666666666667,27
200,100,0.5,48,0.1,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,49,0.1,DeepLINK,0.5238095238095238,0.6666666666666666,42
200,100,0.5,50,0.1,DeepLINK,0.1,0.3,10
200,100,0.5,51,0.1,DeepLINK,0.238095238095238,0.5333333333333333,21
200,100,0.5,52,0.1,DeepLINK,0.2857142857142857,0.5,21
200,100,0.5,53,0.1,DeepLINK,0.1428571428571428,0.4,14
200,100,0.5,54,0.1,DeepLINK,0.4615384615384615,0.4666666666666667,26
200,100,0.5,55,0.1,DeepLINK,0.4857142857142857,0.6,35
200,100,0.5,56,0.1,DeepLINK,0.4166666666666667,0.4666666666666667,24
200,100,0.5,57,0.1,DeepLINK,0.3333333333333333,0.4666666666666667,21
200,100,0.5,58,0.1,DeepLINK,0.0833333333333333,0.3666666666666666,12
200,100,0.5,59,0.1,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,60,0.1,DeepLINK,0.44,0.4666666666666667,25
200,100,0.5,61,0.1,DeepLINK,0.32,0.5666666666666667,25
200,100,0.5,62,0.1,DeepLINK,0.3043478260869565,0.5333333333333333,23
200,100,0.5,63,0.1,DeepLINK,0.1818181818181818,0.3,11
200,100,0.5,64,0.1,DeepLINK,0.5,0.5666666666666667,34
200,100,0.5,65,0.1,DeepLINK,0.3478260869565217,0.5,23
200,100,0.5,66,0.1,DeepLINK,0.25,0.4,16
200,100,0.5,67,0.1,DeepLINK,0.53125,0.5,32
200,100,0.5,68,0.1,DeepLINK,0.1428571428571428,0.4,14
200,100,0.5,69,0.1,DeepLINK,0.4444444444444444,0.5,27
200,100,0.5,70,0.1,DeepLINK,0.3448275862068966,0.6333333333333333,29
200,100,0.5,71,0.1,DeepLINK,0.5625,0.4666666666666667,32
200,100,0.5,72,0.1,DeepLINK,0.3,0.4666666666666667,20
200,100,0.5,73,0.1,DeepLINK,0.3636363636363636,0.4666666666666667,22
200,100,0.5,74,0.1,DeepLINK,0.2941176470588235,0.4,17
200,100,0.5,75,0.1,DeepLINK,0.4,0.4,20
